Date,information_technology,industrials,energy,consumer_discretionary,utilities,materials,telecommunications_services,consumer_staples,financials,health_care,All
2015-05-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-05-04,98.05,100.16,101.81,100.64,101.18,100.18,100.42,101.6,99.05,101.62,100.47099999999999
2015-05-05,97.74,100.07,101.73,100.32,101.55,101.46,99.98,101.23,99.29,101.5,100.487
2015-05-06,98.47,98.04,102.35,99.35,101.84,101.88,100.19,101.31,99.29,102.09,100.48100000000001
2015-05-07,97.88,99.16,102.05,100.65,100.52,101.26,99.62,101.48,100.16,101.55,100.43299999999999
2015-05-08,96.95,98.7,100.22,100.41,102.07,102.91,98.61,101.37,101.76,102.53,100.553
